date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-10-14,5114,84974539.94700457292470446328,634708.629078900742516208,637993.6232333855550405822741,3.58571622,3.4042760460832064,0.00012043268897230973,1.00517559397176,2.3647529590146568,-0.6770080327729239,84537010.70401426609546772,7856,9992,23576046.054133836,23698066.09596954721622984447,2967.42510537,2982.7832928570022548043512,12.948717948717949,13.01573525527535412966491112,29650511.652846059634589375,29803970.66221612933468142524,0.0033174592364047482,0.0022601345194373018,0.0019011066914057344
2019-10-15,4924,84749361.3100261334264013313,606037.706511456893399021,609005.9123134316124819162735,2.4821141,3.516939002670368,0.0001231384770541256,1.00489772463014,2.3095636519801634,-0.38221792533129234,84336305.310292904990372294,8632,11175,33977610.139202006,34144023.11725407025875109606,3755.45853896,3773.8517407437339707802544,22.45,22.559953917946643,41967249.172923453683249892,42172793.2028569034263432185,0.003312367667666458,0.0021874702258967626,0.001893957572753084
2019-10-16,4549,84553980.9925776067033026302,220598.932941908714957155,221562.2733761856969001606516,2.63475064,3.577758614423306,0.00012548538369100962,1.00436693152333,2.0149244510810496,-0.044550040184172086,84186344.988812028878226409,7564,9978,31952300.829575837,32091834.33931143503258816978,3864.36738736,3881.2428151215907769871088,21.831545071565667,21.92688193394168681206043751,38558657.791098035099703714,38727040.80930327501503503295,0.003312019561206071,0.0020696612475247607,0.0018922028928974827
2019-10-17,4382,84656085.56581285039531654986,198601.702979553990967769,199453.3749477487636058951853,3.54561816,3.6231914628363797,0.0001244087535031458,1.00428834171821,2.616273567023268,0.019405822663136965,84294601.50953960406989342,7261,9220,23774303.307429854,23876255.64412448342596140944,3281.73965808,3295.8128791640486851096368,19.87567829,19.9609119903887277946609,30257639.647472513061848322,30387394.7458673343571957153,0.0033103645966782013,0.0020654593975236654,0.0018897659024110583
2019-10-18,3908,84827544.67787517517792063456,225813.926044845028121914,227267.9811169660255888105857,2.80219277,3.6482641748422395,0.00012644769365286571,1.00643917360452,3.7616886701909444,0.4663584515111802,84284820.089095752771996356,7100,9541,30078166.310889814,30271844.84547125839454293236,5031.92436271,5064.3257972463033545754492,48.83950000000002,49.15398601925797466878347209,48009590.344605425240820183,48318732.43151622674580526249,0.0032922296192662397,0.0020527079694951504,0.0019103587911009886
2019-10-19,3328,84835068.16141488214730958538,109725.039909142978805991,110457.519039516207342690421,5.30526361,3.6846637981788404,0.0001266501173775039,1.00667558773257,2.4546873925424033,0.31256455842736103,84272499.696249589337491328,5863,7722,15884696.003125615,15990735.68489968406587073678,3624.7508729,3648.948215360753639260353,44.2,44.495060977779594,27990326.240529602059108682,28177178.11901151363775441173,0.0032790346002344243,0.002030161102620611,0.0019100866840208067
2019-10-20,3752,84884909.83975232682176075613,232870.367187967926903303,234371.1188368243195019469236,4.67371072,3.7342897740515593,0.00012253229021393016,1.00644457973326,1.882708313108857,0.3898859021314702,84341365.186992752816791167,6331,8081,18045910.47168444,18162208.78057848194911809247,4209.16652834,4236.2928376424563174305884,19,19.12244701493194,34014274.71548456545646664,34233482.42095751533970772279,0.0032751786015765205,0.002020563479345655,0.0019067700179269105
2019-10-21,4163,84880498.92451021715880313949,280486.489260819916520444,282292.2996312480123317634254,4.34955932,3.7807487772105803,0.00012256216205112807,1.00643813673588,1.9076014567502286,0.2154967208918819,84337522.423184410370982003,6423,8226,19389900.49773336,19514735.32843287504168898496,3033.47905521,3053.0090081528700557079348,13.5,13.58691484593438,24953398.708153058012235511,25114052.10106107874988984521,0.0032706160955083426,0.001997820587590291,0.0019047368287235912
2019-10-22,4142,84951715.70416968187838465556,348870.124359552986000021,350979.7072791222481176836481,4.14101726,3.834804545088893,0.00012529843910453122,1.00604690047175,2.0545309503063898,0.4814908294279097,84441108.723991484728834881,6419,8366,20391392.617889907,20514697.33953066494612786363,5228.61645774,5260.233381064907819938845,15,15.09070350707625,43742605.285481712488648829,44007112.46601806589932243747,0.0032670611052744015,0.0019122584713589345,0.0019043294545031766
2019-10-23,4905,86279734.65057465041772560493,2088133.394139172739418671,2106127.2956985100618068275,1.33531791,3.834955639916516,0.000135238987555268,1.00861721842572,1.088901554748296,0.6535137098720287,85542595.421127796665318358,10334,13827,64061595.17730372,64613627.93564659710633269968,6029.86525238,6081.8259183374177140832136,352.7721474413766,355.8120620903892429910416462,83374946.844600796220532935,84093406.97279351577522229434,0.0032571513231683855,0.0019582121473527094,0.0019322526909090808
2019-10-24,4107,86284065.9555098105338771922,417630.916980050693475632,420966.6144991009865855095127,3.55804076,3.8596572111476117,0.00013522095578575859,1.00798719008442,1.2194433531825386,0.3276700374486728,85600359.61199410498007683,6778,8815,24058285.28529031,24250443.38296912835491310797,3442.52797775,3470.024103079223234381655,37.485674,37.78507920368060059908,30345884.123888595798626219,30588262.46866587708984172361,0.0032576197425720605,0.0019100369928667375,0.0019239225119067806
