date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-01-29,6976,13364907310.4107,0,0,58.30182998,85.52742765514147,0.0012005247792756448,13.3649073104107,,78.9352677443398,1000000000,8923,8876,17152120.274142925,229236497.6409363581138722493,2346.89008505,31365.968454415134473430035,130.342,1742.0087486535514594,20830996.394875875718901059,278404336.0010155281575677908,0.0983024531485701,0.11123192639751431,0.11728123038199718
2018-01-30,10456,11084141468.4826,0,0,42.3849559,69.77241472733722,0.001112916258666252,11.0841414684826,,42.694204087692455,1000000000,13216,13183,23593276.87754192,261511218.6157540688014402906,2107.12571923,23355.679563823466901740398,229.8457,2547.64225472241113482,27778238.356583335384995355,307897923.689599296369465877,0.09940481421577697,0.11734876582546507,0.11968800616941531
2018-01-31,7313,11597628251.8075,0,0,42.25187151,71.77007926157643,0.001153981861052994,11.5976282518075,,49.83595385670769,1000000000,9893,9850,23667590.6713827,274487918.2226436382197992302,2681.53556969,31099.452681263463284714675,160.5,1861.41933441510375,26413125.361403999048594221,306329608.9099522031196871885,0.09942215523776875,0.11746640539812461,0.11746893557928059
2018-02-01,7809,9897763069.94827,0,0,31.17933728,60.053815911396995,0.0010949016371061583,9.89776306994827,,19.111472369569967,1000000000,10515,10527,32072522.618244085,317446229.9309369011638991835,3514.06536566,34781.3864016138115748344082,200,1979.552613989654,36992566.104327576641179225,366143654.6500336298170815089,0.10019104433464257,0.12101061237476966,0.11908719905797215
2018-02-02,8315,10174416863.4275,0,0,32.84060834,60.5230005741866,0.0011580158497931784,10.1744168634275,,11.854251122530682,1000000000,11707,11790,30450105.84746596,309812070.4276099894922751779,3085.26516995,31390.773973284791727003625,221.608742205,2254.7397237735095402076375,36375276.353700568619143562,370097225.1449266484525098749,0.10006895437213673,0.12003547623069305,0.11869081949860752
2018-02-03,6201,10483079085.515,0,0,44.30572132,61.45520905652848,0.001147937354552052,10.483079085515,,10.119301933214153,1000000000,7985,8017,22570448.47202636,236607796.3277935230477741754,3354.52890766,35165.7918336460246785449,181.48067342026096,1902.476251957115631829455994,26893258.252702982414917318,281924153.1302643076710845643,0.1000642374702553,0.11988166670778175,0.118361488031145
2018-02-04,6620,8994540694.25874,0,0,25.65462231,51.591597571822405,0.0010901777313949649,8.99454069425874,,-2.1545025915581166,1000000000,9233,9262,38979330.431859605,350601173.8043193232232052242,5097.08143071,45845.9063504716551621219054,250.3475,2251.76077645593991215,47209168.21119328577093814,424624784.6176840953492384135,0.10078525968609124,0.12307848661008018,0.12007871119025655
2018-02-05,7096,6980434988.96772,0,0,39.57476281,39.639800756351654,0.0010191096600265005,6.98043498896772,,-28.49556778736565,1000000000,10080,10149,25268629.01981202,176386022.133140927266008248,3055.94974458,21331.8585215931990518649576,299.56217,2091.0742528390962631524,31014833.95778826066994046,216497032.1359693649937475625,0.10266130598240661,0.13080884022794034,0.12322525982701574
2018-02-06,8252,8344088172.93584,0,0,25.64806875,46.476955851560255,0.001078236473524069,8.34408817293584,,-18.102277876175418,1000000000,11631,11674,38989290.37062165,325330076.6526653435525663649,4463.55476176,37244.2944968530669909654784,300.1,2504.060860698045584,52107538.288733602431143157,434789893.9558234915367805153,0.10341774286843906,0.13501647448274173,0.12491528985076739
2018-02-07,5937,7611406917.77319,0,0,59.58202665,42.10116606633364,0.0009982702725729964,7.61140691777319,,-21.63438170008007,1000000000,8009,8050,16783584.853821643,127746693.8614113873876309872,2603.52380804,19816.4791231028547858184476,224.977785,1712.39746909428941858415,20958366.65475307744606515,159522656.9412145241138055091,0.10359266439067685,0.13571803608044253,0.12539654724173513
