date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-09-01,27896,145,145038740,1000267.17241379,2.34582065,2331801826.483223829002073958,994023913.6866645227788972803,133400243355.78555,0.00001162742331008706,0.001508188186305330766175644787,0.00000337,0.00043712128236009917,1.53056424,198.52884371611590280584,961547.4995517748,1812.5,3.67993,235098.6125453055625,1812.5,235098.6125453055625,266.42997458,49.20143840303361,0.013285918491779403,129.709579335341,,-12.530032059972388,17977098.05576322,131634,217467,67474.00732261,8752025.10588546137076136001,0.98486012,127.74579186935345750092,0.00001066,0.00138270411571473506,214174.57463891,27780493.98073860915287671831,0.07427863312193068,0.029616133640749664,0.05452606316444195
2019-09-02,30647,142,77503154,545796.85915493,2.42460843,2414774973.984294991697558884,995944309.760187840700043408,135416022155.83505,0.00000645156713124981,0.0008665216559014380312992209393,0.00000337,0.00045263079822005102,0.84801979,113.89907253830861714234,955882.5102424615,1775,3.603645,238403.46197050165,1775,238403.46197050165,158.15855774,52.339844614403646,0.012942799452367114,134.311809560846,,-10.955960334956176,17978873.05576322,131444,145399,113676.25825694,15268063.95059567294283177124,1.62601664,218.39323729444668847744,0.001,0.134311809560846,236421.19374115,31754158.3499092150652990129,0.07431200338112583,0.030235015989074836,0.05461712168023627
2019-09-03,29064,144,155108882,1077145.01388889,2.43964798,2430715975.287927692561513222,996338813.4683328468534239412,128539636467.34424,0.000012602378428415725,0.001703651608456088990367426921,0.00000337,0.00045557320414625679,1.688139,228.210947559126941013,920122.5581116205,1800,3.654015,243332.8686834606,1800,243332.8686834606,185.59344481,53.87696577469482,0.012730738171038005,135.184927046367,,-10.296997009609361,17980673.05576322,133954,145079,96882.04814877,13096992.61109408751630401859,1.24474135,168.27026859134637217545,0.00033432,0.04519502481014141544,180585.82997324,24412482.25054008453184921908,0.0743117065213876,0.03028994550096636,0.05456435820355807
2019-09-04,36320,139,479211404,3447564.05755396,2.38320349,2375064771.29826282163320258,996584968.2897909623560051082,123214557742.88837,0.000028377859051938586,0.00374806553938487011681538194,0.00000337,0.00044509985212799723,4.90533996,647.88311300698986560484,851379.0153895424,1737.5,3.52663,229483.9742054585125,1737.5,229483.9742054585125,165.8995574,53.87811330457686,0.012486914726475786,132.077107456379,,-13.620260322941768,17982410.55576322,172858,194745,108393.36064038,14316281.54085751131635598402,1.63931097,216.51545113911089117763,0.00001066,0.00140794196548500014,319247.61429341,42165301.45822334892848216239,0.07431354335604137,0.030295568150947694,0.05460346847135454
2019-09-05,35814,141,84142392,596754.55319149,2.35673681,2349549884.247853274006554179,996950477.7838499795397161595,124097343321.18303,0.000006484900461310341,0.0008472225595798430106671534006,0.00000337,0.00044027507327493512,0.94466842,123.41660469911489181392,869816.6479511587,1762.5,3.577,230262.5568685677,1762.5,230262.5568685677,215.75251184,54.37123594185402,0.012348123028686599,130.645422336776,,-10.851189051029058,17984173.05576322,145672,169698,83355.56746187,10890023.31517762964667873112,1.50109626,196.11135485585491405776,0.01,1.30645422336776,254733.03289297,33279704.66542991836890286472,0.07431073527818495,0.02948300632953854,0.05456944237264637
2019-09-06,31283,148,128973305,871441.25,2.32188598,2352448691.967901751592534996,1013162880.487753224185269264,122484356942.70972,0.000010376090669374271,0.001357121629791776755081552794,0.00000337,0.00044077293058909749,1.36937419,179.10476997013994011863,901132.1005370175,1850,3.75439,241967.33578333245,1850,241967.33578333245,88.70129243,54.96250843859892,0.0126604449663368,130.793154477477,,-11.117239464460022,17986023.05576322,131974,151825,202770.69886405,26521019.34003166169521000185,2.23806135,292.72310388062071921395,0.01217547,1.59246812854588688919,339793.66452207,44442685.25430309746378441739,0.07431055402956714,0.029460264898321757,0.05453911123926698
2019-09-07,27829,144,76111759,528553.88194444,2.39212843,2425585120.378914816070845959,1013986159.710746262963612267,127261555844.63693,0.00000615872932358725,0.0008304797173857175059193988198,0.00000337,0.00045443085749378427,0.82991957,111.91129431631237953447,910973.7006513225,1800,3.652555,242722.7132014278,1800,242722.7132014278,270.45390376,57.090056897481695,0.01284919360472638,134.845951778571,,-6.347240566058724,17987823.05576322,134755,150791,66509.75565792,8968571.30425242005426243232,1.18062718,159.20279578275026415978,0.0139807,1.8852407980306675797,178027.9535778,24006348.8433896953328213238,0.07430956896442208,0.029911750398550943,0.054690863052025224
2019-09-08,27555,141,65639837,465530.75886525,2.40084096,2435331422.809153688581290916,1014365993.902696798866331097,129813936051.93607,0.000005674348912867921,0.0007681622330128178275743460055,0.00000337,0.00045621211613947366,0.73778452,99.87722169855959266936,909885.0925583588,1762.5,3.575905,238597.582995792975,1762.5,238597.582995792975,198.63932942,57.746282683293565,0.013007692859146746,135.374515174918,,-3.157673292318561,17989585.55576322,130021,145210,90564.06708927,12260066.67447867344117092986,1.92330119,260.36596613159284755242,0.00733587,0.99308984463622570866,279282.56548808,37807741.89975611607124397744,0.07430814156882969,0.029475958936259157,0.05406784233715883
2019-09-09,32999,144,75817097,526507.61805556,2.33198686,2365482570.742732283676307745,1014363595.176966764563331101,130634304371.83266,0.000006261819697330533,0.0008232954215371185986710317754,0.00000337,0.00044308295426693378,0.86768157,114.08157667613391730458,935116.775021218,1800,3.651825,236661.5185995492,1800,236661.5185995492,60.34931532,56.27997114407141,0.012724807540035065,131.478621444194,,-6.9721947487450615,17991385.55576322,138567,154765,298120.78993023,39196510.48388079277509858462,4.95750171,651.80549063803442457174,0.01800339,2.36706089852218781766,767247.7516591,100876676.6942957779015622654,0.07433386160922993,0.029820361949075686,0.04980500821559579
2019-09-10,43712,150,103793912,691959.41333333,2.24214239,2271897142.929319876511531609,1013270681.052115930408498587,125421854586.04643,0.000009388455885641033,0.001185421954903774950114032503,0.00000337,0.0004255089480833148,1.25968668,159.0528053772591049872,935213.1313380852,1875,3.803665,236744.592776325,1875,236744.592776325,109.5213572,54.48254510632832,0.012518776984219727,126.26378281404,,-13.669768046720257,17993260.55576322,134174,163120,164289.97060761,20743873.1673242842544388444,3.97037857,501.3150174519987111228,0.0071,0.896472857979684,647648.15252859,81774505.6707841386117534036,0.0743983847861516,0.02977344157596231,0.04982694999598966
2019-09-11,33216,142,77472344,545579.88732394,2.12405942,2149876288.870648953956175259,1012154494.559671411257137012,120709925044.13196,0.000008885161836859859,0.001061514921575897230693769964,0.00000337,0.00040261565871208077,1.15898051,138.46400637036003382071,852074.2547700977,1775,3.60036,212060.176324612275,1775,212060.176324612275,95.68127239,52.272642401573684,0.011779607353574193,119.470521873021,,-16.15420999840889,17995035.5549266,130440,150116,188072.7033125,22469144.0148142203310820625,5.58798192,667.59911619940588378032,0.01334269,1.59405813748993856649,838845.49458704,100217309.0091460811777122478,0.07451284806846419,0.030944792881760975,0.04948505884975746
2019-09-12,33557,135,63050960,467044.14814815,2.10910466,2134783066.854730131420406529,1012175029.025561143354128561,123726117275.56126,0.000006965827176428698,0.0008262909786175433422545376509,0.00000337,0.0003997516055758298,0.93904923,111.3906342454737923742,830311.917749369,1687.5,3.422605,200172.35442409875,1687.5,200172.35442409875,206.76823217,52.76581666322897,0.011402148421927298,118.62065447354,,-17.188412696604637,17996723.05239998,134808,154610,87038.14345017,10324521.5402210242605735018,2.40918802,285.7794596822119749908,0.01315976,1.5610193439147127504,372484.55999431,44184362.2878136270184455574,0.07450898821940581,0.030873533434302894,0.044734125376563405
2019-09-13,38735,154,69999920,454544.93506494,2.10201514,2129177543.43305058774566358,1012922079.981721053259027689,121463079613.42586,0.000007249911631774957,0.0008576393623181594936881152372,0.00000337,0.00039865929376915652,1.00255403,118.59865921816669401388,929846.2153947992,1925,3.903675,227720.8132064173,1925,227720.8132064173,235.65805607,53.63499084615941,0.011434765862653113,118.296526340996,,-11.779366648235387,17998648.05239998,138285,160834,76376.12035372,9035029.73324691871285710512,2.84466646,336.51416081673784419416,0.00803281,0.95025351975721607876,457519.08484652,54122918.47205473704584393392,0.07450514271645224,0.028740500565232214,0.04469953966995459
2019-09-14,28945,140,82446497,588903.55,2.12741937,2156101133.639461490710711216,1013481950.383951122312112576,127774999576.85773,0.000006804518192113363,0.0008150502752870988103373476427,0.00000337,0.00040366111900487704,0.93733599,112.27480552134843772008,889242.1553247966,1750,3.54853,209616.308088586,1750,209616.308088586,287.05816987,55.06754546534647,0.011557996034482841,119.780747479192,,-11.723281262049122,18000398.05239998,137752,155498,62706.44747923,7511025.15082686436527718216,1.49762148,179.38622031529379224416,0.01806227,2.16351220177098528584,232877.14552267,27894198.56152598315178928264,0.07449042714244433,0.02875294049580687,0.04076176725312924
2019-09-15,34023,147,88744656,603705.14285714,2.11912898,2147656774.259619711942068443,1013462035.715339295130629183,130351728612.134,0.00000694265966113298,0.0008282554691182043428316309978,0.00000338,0.00040323213613537218,1.01414901,120.98741765144169299661,952533.4776716307,1837.5,3.725555,219212.7367303983375,1837.5,219212.7367303983375,184.40993101,56.160163654990775,0.011575537023962664,119.299448560761,,-11.931389707285616,18002235.55237798,146075,380624,97620.74880618,11646101.50066584170994230298,0.65324947,77.93230154360938604667,0.0000084,0.0010021153679103924,248642.42795813,29662904.54421365265646893693,0.07448953562621846,0.028749119932277772,0.03970650433220553
2019-09-16,37193,147,107677277,732498.4829932,2.17542026,2206523701.824758861583212807,1014297668.732879778758107278,135569133091.59285,0.000007373381937443212,0.0009036589642934228023697685455,0.00000338,0.00041424238229152402,1.18479925,145.20534433645294090325,990659.1894374185,1837.5,3.72519,225198.3365268270375,1837.5,225198.3365268270375,148.36815114,59.08915205708042,0.011947654067215895,122.556917837729,,-7.864474792934728,18004073.05237798,160686,516141,121347.28992758,14871949.84148550191460166582,1.34733008,165.12462191486084058832,0.0000084,0.0010294781098369236,695412.29227603,85227587.16782019399561633587,0.07451036868751147,0.029171050416078363,0.03668159746609393
2019-09-17,33695,152,99069794,651774.96052632,2.2156588,2247641126.082534378653253894,1014434678.297124013132437878,130985250393.49132,0.000007190492729310152,0.0008975714407808855574992357026,0.00000337,0.00042066877324021463,1.097262,136.968504291722369538,989719.4414138806,1900,3.85148,237172.3053876581,1900,237172.3053876581,186.07002879,61.18967795087922,0.012243261039790319,124.827529151399,,-8.577420186095193,18005973.05227798,152599,380082,96769.87298607,12079544.14114583152124801193,0.60787852,75.87997367580928004948,0.0000084,0.0010485512448717516,231043.68371752,28840612.16449533827922881048,0.07450514831330234,0.0289396377862685,0.035315888418170904
2019-09-18,35152,146,224741352,1539324.32876712,2.23050014,2253787272.265875407885041651,1010440318.057932558909626515,139766855743.0004,0.00001754005795799494,0.002195246707330441679511630012,0.00000337,0.0004217763374226202,2.42107174,303.0120982595282501404,1014385.8203034343,1825,3.69891,228410.0343609145,1825,228410.0343609145,124.04921526,62.77958032353244,0.012316923113658328,125.15618321146,,-13.9213810197155,18007798.05227798,138031,157890,145166.56162615,18168492.783060128106915679,6.45077492,807.3543677434112245832,0.01920016,2.4030187426493458336,1018512.85250557,127473181.1714138552301378322,0.0745001566768197,0.026170516751491693,0.028155704110931906
2019-09-19,35704,133,89925600,676132.33082707,2.19743712,2218730433.582872821513528968,1009690068.237682702748321885,137099718341.31097,0.000007283769001371364,0.0008973461424687725288352239812,0.00000337,0.00041517743074367186,1.00384176,123.67134800890375928928,906430.1073307487,1662.5,3.369315,204816.759231855925,1662.5,204816.759231855925,114.26010493,64.70289255449127,0.011997793142022244,123.198050665778,,-12.150927361431378,18009460.55227798,137819,159136,157618.09919287,19418242.57020682074793060286,4.0676273,501.1237541949017685394,0.01559912,1.92178117610155091536,647305.93852232,79746829.81033175861351316496,0.07451399197114926,0.02559299527945296,0.027829610567791332
