date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2015-06-18,1521,19863,1021127816.726870131280844273,0.01206243637335238,0.0001231742257776040775919558114,0.011,0.0001123252750619142,3098.140283,31.6363144971247001917926,1996.9494718,926.2467968407891,0.00004100753769725305,0.0102113886419922,,54.96982683027725,99998918122.428086,256842,1432,50075837.93909299,511343.8427694962543318946547,37839.53015998,386.394148493941066611912156,4.008,0.0409272456771047376,54186207.189093,553316.4206433403540656310746,0.059000773659527744,0.06085134235732425,0.05709664339207841
2015-06-19,1703,19691,1131246190.212157890029775358,0.011723301059268762,0.0001326208352788963405512775407,0.011,0.0001244384308389376,2928.457158,33.1284194109613418032128,1022.55339121,1030.6271027738612,0.00004621088077147843,0.0113125846217216,,77.72293384968259,99998915193.970921,249798,1519,97793343.65690398,1106295.475559827541404513492,67629.55211119,765.065031186967560812424704,20,0.226251692434432,102729289.656904,1162133.782373076012289805926,0.05951560389437155,0.06215928855481367,0.05847889988079194
2015-06-20,993,19344,1082505618.853415066559809921,0.012018387447049621,0.0001301011333539123279048216978,0.011,0.0001190769122062509,1997.744435,21.6259307906383006989765,2828.81644643,993.8069434010059,0.000044079579193453916,0.0108251738369319,,67.58309784319053,99998913196.226485,166224,943,35350089.017754,382670.8587682042882399889526,40296.16813123,436.213024982800009579773237,0.7,0.00757762168585233,37999286.547754,411348.8825588249004981959526,0.059553407466044234,0.06322103463147151,0.058735610689774724
2015-06-21,837,19244,1014760125.24633053647241824,0.012087433879023196,0.0001226597953059264240603304807,0.011,0.0001116248297090355,2498.617632,25.355251607272139092176,4509.61047144,937.1695359477262,0.000041537867329047076,0.0101477117917305,,51.59247894442345,99998910697.608847,206712,376,22174622.693242997,225021.6801813966985624916363,58975.11354586,598.46245514796866168051073,872.48,8.85367558404902664,22174642.693243,225021.8831356325636156270115,0.05932926289028563,0.06484244903461878,0.05935975754385414
2015-06-22,1443,19114,1054832542.789472215875911575,0.011922898638297293,0.0001257679877902555790223645129,0.011,0.0001160328463456921,2318.550715,24.4570944416626868749865,3498.09882334,977.3721756137895,0.00004270314377556994,0.0105484405768811,,54.110679447661845,99998908379.058131,194462,985,28586644.754539993,301544.5234856749150691811558,30240.80939547,318.993380904902955749068617,80,0.843875246150488,29787197.25454,314208.480191351035716015194,0.059410008394633236,0.06498554064612258,0.05946943954455404
2015-06-23,1313,19533,1059062089.221671575728976107,0.011729335237190885,0.0001242223016474050227486879171,0.011,0.0001164981041541713,2250.753868,23.8371416854243565281444,2206.42171919,1025.2182190185306,0.000043371816481589595,0.0105907367412883,,57.86719728024469,99998906128.304251,191891,1046,45321755.70006101,479990.7832723285767168959992,43838.70430216,464.284176343359376110872728,5.333,0.0564803990412905039,45855284.700061,485641.2484551712762202285863,0.05901935757193566,0.06469277879104866,0.059420995181524286
2015-06-24,1379,19475,1089353971.480626963762360511,0.012577499233195082,0.0001370149888074266389390828019,0.011,0.0001198302499517486,1919.125143,20.9062950522159340977318,1383.17278912,1068.7817207133955,0.00004530500759789617,0.0108936590865226,,58.80807501014813,99998904209.179099,152584,1301,72296754.964739,787576.2016477269011131266014,56485.39197905,615.33260358836881999655153,5,0.054468295432613,73487494.964739,800547.7172684128218371266014,0.05901092983853827,0.0647241645079866,0.05947924305243034
2015-06-25,1299,19739,1104274645.427814959331723765,0.011914684455484078,0.0001315722837335813486092903715,0.011,0.0001214715443347923,1863.563881,20.5790893265099183560833,2087.10634905,1097.701653867471,0.000045566186440677963,0.0110428676667993,,64.55340490218809,99998902345.615217,156409,1571,47912700.946420014,529093.6161102457929223408412,30598.63777621,337.896707747013044200384653,0.18,0.001987716180023874,48070459.94642,530835.727870492229090893506,0.05892941419483692,0.06434103412307256,0.05938121186471401
2015-06-26,1313,18498,1139712901.304426069322411682,0.012009097538441413,0.0001368707384796397984639052522,0.011,0.0001253697972271976,1560.690307,17.7875843020947973721512,625.5360222,1119.6650198822106,0.000046908458796025685,0.0113972542933816,,68.19977639439438,99998900784.924909,129959,1255,159861138.66557103,1821978.049001050723478713695,159554.27957177,1818.480697876763747193197432,4.99,0.056872298923974184,200240620.862571,2282193.275835334513688460094,0.0589891418108339,0.0643840303334197,0.05946959986712512
2015-06-27,827,16338,1145989808.797236133869124485,0.012858489443889624,0.0001473586006903478736067364723,0.011,0.000126060266617406,1567.707033,17.965960596178409674218,5042.0618631,1143.6359385491198,0.00004556138398597295,0.011460024237946,,44.67220053230096,99998899217.217875,121920,611,19832937.780692004,227285.9476764053156126355838,35852.76559851,410.87356275632112734306046,19.780668,0.226686934722762827928,21906039.780692,251043.746844139598264538632,0.05898839706583619,0.05881595691091666,0.05938653518702823
