date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-06-14,86,22069,178624217.2788807510545055049,0.00001,1.7521736617636E-8,0.00001,1.7521736617636E-8,0.00097,0.000001699608451910692,,,,,,39322.53178702,12959.221893035383,0.0000025581107539450563,0.0017521736617636,,-1.367522943867904,101944356987.4755925,97,30,2592517.6318663,4542.54111221387159721740668,98277.2543955433,172.1988167023119575014581639,44894.260385,78.662540610953976714986,2948317.6318663,5165.96450106936047721740668,0.05073334945655047,0.03500894646911609,0.02815640710647742
2016-06-15,94,22455,169205337.7243853484721053718,0.00001,1.65978130349261E-8,0.00001,1.65978130349261E-8,0.00107,0.0000017759659947370927,,,,,,54631.44454983,12261.37485739094,0.000002388169491525431,0.00165978130349261,,-2.726569299701299,101944356987.4738725,107,16,1866038.09999,3097.2151499682755154060739,136627.381249375,226.7715729428694197128796188,31499.999995,52.28311105171830848253695,2186038.09999,3628.3451670859107154060739,0.05089193239597639,0.035639344335230624,0.028746564545785076
2016-06-16,85,22448,171764132.461147287365265244,0.00001,1.68488121890122E-8,0.00001,1.68488121890122E-8,0.00111,0.0000018702181529803542,,,,,,26652.70370724,12437.28264797595,0.000002195513734658097,0.00168488121890122,,0.08378410288598279,101944356987.4686525,111,41,3824916.1551212,6444.529393635575330939927864,115241.857685883,194.1688416462314774291654773,5009.3990876,8.440242440678147342526872,4724916.1651212,7960.922507495485519952127864,0.0509041009756676,0.035672813840311235,0.028779970730563823
2016-06-17,73,22600,167458536.8485242958903192185,0.00001,1.64264645731324E-8,0.00001,1.64264645731324E-8,0.00106,0.0000017412052447520344,,,,,,27777.04758815,12220.149845362444,0.0000021901525423728794,0.00164264645731324,,-3.873693847343893,101944356987.4581025,106,50,3670093.3266555,6028.66580103962076820506882,73401.86653311,120.5733160207924153641013764,100,0.164264645731324,3670093.3266555,6028.66580103962076820506882,0.050763653574181805,0.03585057993904066,0.028901530656248786
2016-06-18,36,22679,176257130.291070980920596141,0.00001,1.72895425994757E-8,0.00001,1.72895425994757E-8,0.00031,5.359758205837467E-7,,,,,,43714.05717048,12883.779459931811,0.0000022800736411455253,0.00172895425994757,,6.05047775335573,101944356987.4520125,31,16,2332072.6463314,4032.046936381876832916844698,145754.540395713,252.0029335238681665344327674,25648.6349339,44.345316630806465484415623,2332072.6463314,4032.046936381876832916844698,0.05085095047206457,0.03601665390688041,0.02969968578939561
2016-06-19,140,22414,186288835.9425156520986597249,0.0000100125,1.829642194029847725E-8,0.00001,1.82735799653418E-8,0.01602,0.0000292742751044775636,,,,,,48939.89327192,13655.670038287104,0.0000023831981297486918,0.00182735799653418,,12.114182494791297,101944356987.4301825,1600,1473,2083052.2948017,3806.482268104760604230372106,1414.1563440609,2.584169903669226761826851562,20.999989,0.03837449782627981812402,2083052.2948017,3806.482268104760604230372106,0.05092495738147014,0.03730675343949475,0.030584511453410054
2016-06-20,66,19580,174763923.9107588923439579886,0.00001,1.71430699133591E-8,0.00001,1.71430699133591E-8,0.01482,0.0000254060296115981862,,,,,,19051.1362799,12989.879611986087,0.0000023727516072472217,0.00171430699133591,,5.516342215465708,101944356987.4088925,1482,1439,5351090.63783,9173.4120917041029256834753,3718.80933831133,6.37518084811238239834018886,20.999989,0.03600042796067720530499,5351366.63783,9173.8852404337116368434753,0.05112093287620934,0.03929106548632398,0.03149051583647761
2016-06-21,22,17010,171938587.5059387777828563215,0.00001,1.68659249601421E-8,0.00001,1.68659249601421E-8,0.00047,7.926984731266787E-7,,,,,,12316.95749017,12712.227983783592,0.00000251879018118059,0.00168659249601421,,3.4210667127733747,101944356987.3977125,47,39,8276748.3015777,13959.50157683930637430461912,212224.315425069,357.9359378676741332044142305,405.3032791,0.683581469140012993196011,8276748.3015777,13959.50157683930637430461912,0.05111839677538854,0.03942682330206461,0.03122507437493284
2016-06-22,84,16868,165089073.4340959148267005138,0.00001,1.61940374448137E-8,0.00001,1.61940374448137E-8,0.01252,0.0000202749348809067524,,,,,,940.31635777,10746.352040882608,0.000002722451198129757,0.00161940374448137,,3.005237080304267,101944356987.3721125,1252,1180,108414956.461534,175567.5864515928591751846216,91877.0817470627,148.7860902132142682233323719,20.999989,0.03400746082066758070493,108414956.461534,175567.5864515928591751846216,0.05119397047128216,0.03956643599948663,0.03155329476270126
2016-06-23,69,17191,167279144.5310865332025973972,0.0000101111111111111,1.659118824139674065681389834E-8,0.00001,1.64088674914913E-8,0.00091,0.0000014932069417257083,,,,,,127216.09541825,10951.300081514202,0.0000026142180011689126,0.00164088674914913,,2.8284582520302237,101944356987.3593825,90,29,801347.947775,1314.92122896184655292668575,27632.6878543103,45.34211134351187654392799504,0.01,0.0000164088674914913,801347.947775,1314.92122896184655292668575,0.05107810551241541,0.039546851633310454,0.03161580577855946
2016-06-24,52,17198,184978245.2142183241298379319,0.0000101176470588235,1.835849137652908780876309832E-8,0.00001,1.81450205465695E-8,0.00086,0.000001560471767004977,,,,,,13577.24177606,12011.420291537162,0.0000027321613091759122,0.00181450205465695,,18.478301704270418,101944356987.3445725,85,38,7508473.2723196,13624.14017996070706070876122,197591.401903147,358.5300047358074120442104216,1298.32915505,2.3558209194592468111100975,7508473.2723196,13624.14017996070706070876122,0.051538951847372116,0.04268923474145701,0.03381446021970726
2016-06-25,51,17196,184794306.4132355623588297134,0.00001,1.81269774879448E-8,0.00001,1.81269774879448E-8,0.00067,0.0000012145074916923016,,,,,,7152.5651891,11841.335971913477,0.000002710078901227353,0.00181269774879448,,22.727322360452565,101944356987.3309125,67,36,14252838.5680074,25836.08838615815401284571915,453828.849111317,822.6545331220740712560751302,406958.347805,737.6924809192445113041164,16337838.5680074,29615.56319239464481284571915,0.051527622547934256,0.041975955555317634,0.033722862048270234
2016-06-26,63,17200,212446298.5965378432247212227,0.00001,2.08394368138463E-8,0.00001,2.08394368138463E-8,0.00108,0.0000022506591758954004,,,,,,6593.0926436,13496.400406416757,0.0000033055686732904738,0.00208394368138463,,46.72891528775071,101944356987.3167725,108,63,15462297.0581594,32222.55625404343443823125002,254296.270764435,529.939106659219332409359634,207062.398923,431.50637788792946606075349,16020665.0581594,33386.16371953080752207125002,0.052542629354852544,0.047526982418227365,0.0382309634354452
2016-06-27,127,17201,305591757.4099620786681316183,0.00001,2.99763288955786E-8,0.00001,2.99763288955786E-8,0.00223,0.0000066847213437140278,,,,,,5629.24039117,18905.32947057145,0.0000045958708357685576,0.00299763288955786,,115.84616890651198,101944356987.3013225,223,103,18109789.2261236,54286.4998071886883567657115,194551.371127414,583.193588800113643816185174,1620.6931727,4.858243158367396823622422,20038791.2261236,60068.9396464115794124857115,0.05906538760928242,0.07929592255066731,0.05998282302232232
2016-06-28,108,17204,241036991.9112811764741432206,0.00001,2.36439758937658E-8,0.00001,2.36439758937658E-8,0.00286,0.0000067621771056170188,,,,,,1331.18975681,13331.393432497442,0.0000036531659848042136,0.00236439758937658,,64.21743415995256,101944356987.2845825,286,192,76581386.2870071,181068.8451281162677138430337,420107.575921912,993.301339788607296010841621,142883.058795,337.8323597776501475360211,80660654.5770071,190713.8572394125913764912337,0.061696714663830116,0.09264099869907767,0.06769593012749904
2016-06-29,64,17189,205583698.7657240183737057471,0.0000116393442622951,2.347221087430141013588893248E-8,0.00001,2.01662656807378E-8,0.00142,0.0000028636097266647676,,,,,,5187.63379278,11210.697948692363,0.0000031579544126241954,0.00201662656807378,,38.64339630365553,101944356987.2687325,122,81,19651417.4013638,39629.57043189764008931102116,249671.819769923,503.4948250473551559768889189,20134.689531,40.60414984813159700159718,20223417.4013638,40783.08082883584224931102116,0.06284919339622258,0.0980392403605633,0.07088658094271917
2016-06-30,55,17191,216608291.9043413443260457674,0.00001,2.12314987688389E-8,0.00001,2.12314987688389E-8,0.00107,0.0000022717703682657623,77782034.9120971,27.8277274131164,165142.9178473973916034131057,77782034.9120971,165142.9178473973916034131057,1458.70136424,10848.321575149155,0.0000031487434248977228,0.00212314987688389,,38.59817524792719,102022139022.1652896,107,86,69940387.7472679,148493.9256348233705497130241,1510934.7412473,3207.940909858797188775875997,13490.905587,28.64321453609123375129343,129940387.7472679,275882.9182478567705497130241,0.06295539012321308,0.09803456436240089,0.07118317758440641
2016-07-01,57,17165,209037080.476010747278450731,0.00001,2.04893842140113E-8,0.00001,2.04893842140113E-8,0.00063,0.0000012908312054827119,,,,,,12752.25294718,10410.478584961218,0.000003024208065458803,0.00204893842140113,,36.57026407195531,102022139022.1500496,63,31,8000322.7229507,16392.16861066219717270191429,258074.926546797,528.7796326020068230732536806,32425.128268,66.43709112716507653014284,8000322.7229507,16392.16861066219717270191429,0.06300132021552365,0.0982357452390894,0.07131402545633062
2016-07-02,32,17142,207529570.8954184627735112513,0.00001025,2.085016175966063E-8,0.00001,2.03416212289372E-8,0.00041,8.340064703864252E-7,,,,,,23466.93379662,11121.00923090176,0.0000028946183518410334,0.00203416212289372,,34.71361448963987,102022139022.1320996,40,24,4347484.844263,8843.48900005429776110072836,205531.243510958,418.0838706212364384834893838,82151.835503,167.11015210639815579174116,4932749.844263,10034.01289490969079690072836,0.06300251633614426,0.09828644490960778,0.07132064381444482
2016-07-03,55,17204,200264005.7377211314480622515,0.00001,1.96294654922209E-8,0.00001,1.96294654922209E-8,0.00056,0.0000010992500675643704,,,,,,32231.3949977,10943.842781068806,0.000002962714202220929,0.00196294654922209,,29.17711295443435,102022139022.1171196,56,22,3165303.240192,6213.32107257638669402224128,143877.420008727,282.4236851171079507428611794,3367.1649915,6.609564900726353006462235,3165303.240192,6213.32107257638669402224128,0.0629986630367845,0.09863752309787546,0.07148047726895519
